season,bb_ref_team_name,ATL,BOS,BKN,CHI,CHA,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2008,Phoenix Suns,2-0,0-2,1-1,0-2,1-1,0-2,1-3,2-1,2-0,3-1,1-2,1-1,4-0,1-3,3-1,0-2,2-0,2-1,1-2,1-1,4-0,1-1,1-1,NA,2-2,3-1,1-3,2-0,2-2,2-0
2008,Portland Trail Blazers,1-1,1-1,2-0,2-0,1-1,0-2,0-3,2-2,2-0,1-2,1-2,2-0,3-1,2-2,4-0,2-0,2-0,4-0,2-2,2-0,3-1,1-1,0-2,2-2,NA,3-0,3-1,2-0,2-2,2-0
2008,Sacramento Kings,0-2,0-2,0-2,0-2,0-2,0-2,1-3,1-3,0-2,2-2,0-3,0-2,3-1,1-3,2-2,0-2,0-2,3-1,1-3,1-1,1-2,0-2,0-2,1-3,0-3,NA,0-3,0-2,0-4,0-2
2008,San Antonio Spurs,2-0,1-1,2-0,2-0,2-0,0-2,2-2,1-2,1-1,4-0,2-2,2-0,4-0,1-2,4-0,1-1,0-2,4-0,2-2,1-1,2-2,0-2,1-1,3-1,1-3,3-0,NA,1-1,3-0,2-0
2008,Toronto Raptors,1-3,0-4,2-2,3-1,2-2,0-3,0-2,0-2,0-3,1-1,1-1,2-2,2-0,0-2,1-1,2-1,2-2,2-0,0-2,2-2,1-1,2-2,2-2,0-2,0-2,2-0,1-1,NA,0-2,2-1
2008,Utah Jazz,1-1,1-1,1-1,0-2,1-1,0-2,2-2,2-2,2-0,2-2,2-2,2-0,3-0,1-2,4-0,0-2,1-1,3-1,3-0,1-1,3-1,0-2,2-0,2-2,2-2,4-0,0-3,2-0,NA,1-1
2008,Washington Wizards,0-4,0-3,2-2,1-3,1-3,2-2,0-2,0-2,1-3,1-1,1-1,1-2,1-1,0-2,0-2,0-4,0-3,2-0,0-2,1-3,1-1,0-4,0-4,0-2,0-2,2-0,0-2,1-2,1-1,NA
2007,Atlanta Hawks,NA,0-3,1-3,2-2,2-2,1-2,1-1,1-1,0-4,1-1,0-2,1-2,1-1,1-1,2-0,3-1,2-2,2-0,0-2,4-0,1-1,2-2,3-1,1-1,0-2,1-1,0-2,1-2,1-1,2-2
2007,Boston Celtics,3-0,NA,4-0,4-0,3-1,2-2,2-0,1-1,2-1,1-1,2-0,3-0,2-0,2-0,2-0,4-0,4-0,2-0,1-1,4-0,2-0,1-2,3-1,1-1,2-0,2-0,2-0,3-1,1-1,1-3
2007,Charlotte Bobcats,2-2,1-3,1-3,1-3,NA,1-3,0-2,1-1,0-3,1-1,0-2,3-1,2-0,1-1,1-1,3-1,1-2,2-0,0-2,1-2,2-0,1-3,1-2,0-2,2-0,0-2,0-2,2-2,1-1,1-3
2007,Chicago Bulls,2-2,0-4,1-2,NA,3-1,3-1,0-2,1-1,3-1,1-1,0-2,2-2,1-1,0-2,1-1,2-1,3-1,1-1,0-2,2-2,2-0,0-4,1-3,0-2,0-2,1-1,0-2,1-2,1-1,1-2
2007,Cleveland Cavaliers,2-1,2-2,1-3,1-3,3-1,NA,1-1,0-2,1-3,1-1,0-2,4-0,2-0,2-0,2-0,3-0,1-3,2-0,0-2,2-1,1-1,1-3,2-1,0-2,2-0,2-0,1-1,3-1,1-1,2-2
2007,Dallas Mavericks,1-1,0-2,1-1,2-0,2-0,1-1,NA,1-2,1-1,3-1,3-1,1-1,4-0,1-3,4-0,2-0,1-1,3-0,2-2,2-0,3-1,2-0,1-1,2-1,2-2,2-1,1-3,1-1,2-2,0-2
2007,Denver Nuggets,1-1,1-1,2-0,1-1,1-1,2-0,2-1,NA,0-2,3-1,2-2,1-1,3-1,0-3,4-0,2-0,1-1,4-0,1-2,1-1,3-1,1-1,1-1,2-2,2-2,2-1,2-2,2-0,1-3,2-0
2007,Detroit Pistons,4-0,1-2,3-0,1-3,3-0,3-1,1-1,2-0,NA,2-0,1-1,4-0,2-0,1-1,2-0,4-0,3-1,2-0,2-0,2-2,2-0,2-2,2-2,2-0,1-1,0-2,2-0,3-1,0-2,2-1
2007,Golden State Warriors,1-1,1-1,1-1,1-1,1-1,1-1,1-3,1-3,0-2,NA,2-2,1-1,3-1,2-2,4-0,2-0,2-0,3-1,1-2,2-0,2-1,1-1,2-0,2-2,2-2,3-1,2-1,2-0,0-3,2-0
2007,Houston Rockets,2-0,0-2,2-0,2-0,2-0,2-0,1-3,2-2,1-1,2-2,NA,2-0,3-0,2-1,3-1,1-1,2-0,3-0,2-2,2-0,4-0,1-1,0-2,2-2,4-0,2-2,2-2,1-1,1-2,2-0
2007,Indiana Pacers,2-1,0-3,2-2,2-2,1-3,0-4,1-1,1-1,0-4,1-1,0-2,NA,1-1,0-2,1-1,3-1,3-1,1-1,1-1,4-0,1-1,1-2,3-0,0-2,2-0,1-1,0-2,1-3,1-1,2-2
2007,Los Angeles Clippers,1-1,0-2,2-0,1-1,0-2,0-2,0-4,1-3,0-2,1-3,0-3,1-1,NA,0-4,3-1,1-1,1-1,1-3,0-4,2-0,2-1,0-2,0-2,1-3,0-3,3-1,0-3,1-1,1-3,0-2
2007,Los Angeles Lakers,1-1,0-2,1-1,2-0,1-1,0-2,3-1,3-0,1-1,2-2,1-2,2-0,4-0,NA,2-1,2-0,1-1,3-0,2-2,2-0,4-0,1-1,2-0,3-1,2-2,3-1,2-2,2-0,3-1,2-0
2007,Memphis Grizzlies,0-2,0-2,2-0,1-1,1-1,0-2,0-4,0-4,0-2,0-4,1-3,1-1,1-3,1-2,NA,2-0,0-2,2-2,0-4,2-0,3-1,1-1,0-2,0-3,0-3,2-2,1-3,0-2,0-3,1-1
2007,Miami Heat,1-3,0-4,1-2,1-2,1-3,0-3,0-2,0-2,0-4,0-2,1-1,1-3,1-1,0-2,0-2,NA,2-2,1-1,0-2,1-3,1-1,0-4,0-3,1-1,0-2,1-1,0-2,0-4,1-1,0-4
2007,Milwaukee Bucks,2-2,0-4,0-4,1-3,2-1,3-1,1-1,1-1,1-3,0-2,0-2,1-3,1-1,1-1,2-0,2-2,NA,1-1,0-2,1-2,1-1,1-2,1-3,0-2,0-2,0-2,0-2,1-2,0-2,2-2
2007,Minnesota Timberwolves,0-2,0-2,1-1,1-1,0-2,0-2,0-3,0-4,0-2,1-3,0-3,1-1,3-1,0-3,2-2,1-1,1-1,NA,1-3,1-1,1-3,1-1,1-1,2-2,0-4,2-1,0-4,0-2,2-2,0-2
2007,New Jersey Nets,3-1,0-4,NA,2-1,3-1,3-1,1-1,0-2,0-3,1-1,0-2,2-2,0-2,1-1,0-2,2-1,4-0,1-1,0-2,1-3,2-0,1-3,2-2,0-2,1-1,0-2,0-2,1-3,1-1,2-1
2007,New Orleans Hornets,2-0,1-1,2-0,2-0,2-0,2-0,2-2,2-1,0-2,2-1,2-2,1-1,4-0,2-2,4-0,2-0,2-0,3-1,NA,2-0,3-0,1-1,2-0,4-0,2-2,1-2,2-2,1-1,1-3,0-2
2007,New York Knicks,0-4,0-4,3-1,2-2,2-1,1-2,0-2,1-1,2-2,0-2,0-2,0-4,0-2,0-2,0-2,3-1,2-1,1-1,0-2,NA,0-2,1-3,1-3,0-2,0-2,0-2,0-2,1-3,1-1,2-1
2007,Orlando Magic,2-2,2-1,3-1,4-0,3-1,3-1,0-2,1-1,2-2,1-1,1-1,2-1,2-0,1-1,1-1,4-0,2-1,1-1,1-1,3-1,2-0,NA,3-1,0-2,2-0,1-1,0-2,2-1,0-2,3-1
2007,Philadelphia 76ers,1-3,1-3,2-2,3-1,2-1,1-2,1-1,1-1,2-2,0-2,2-0,0-3,2-0,0-2,2-0,3-0,3-1,1-1,0-2,3-1,2-0,1-3,NA,1-1,1-1,1-1,1-1,1-3,0-2,2-2
2007,Phoenix Suns,1-1,1-1,2-0,2-0,2-0,2-0,1-2,2-2,0-2,2-2,2-2,2-0,3-1,1-3,3-0,1-1,2-0,2-2,0-4,2-0,4-0,2-0,1-1,NA,3-0,4-0,3-1,2-0,1-2,2-0
2007,Portland Trail Blazers,2-0,0-2,1-1,2-0,0-2,0-2,2-2,2-2,1-1,2-2,0-4,0-2,3-0,2-2,3-0,2-0,2-0,4-0,2-2,2-0,2-2,0-2,1-1,0-3,NA,1-3,0-3,1-1,3-1,1-1
2007,Sacramento Kings,1-1,0-2,2-0,1-1,2-0,0-2,1-2,1-2,2-0,1-3,2-2,1-1,1-3,1-3,2-2,1-1,2-0,1-2,2-1,2-0,3-1,1-1,1-1,0-4,3-1,NA,1-3,1-1,2-2,0-2
2007,San Antonio Spurs,2-0,0-2,2-0,2-0,2-0,1-1,3-1,2-2,0-2,1-2,2-2,2-0,3-0,2-2,3-1,2-0,2-0,4-0,2-2,2-0,2-1,2-0,1-1,1-3,3-0,3-1,NA,1-1,2-2,2-0
2007,Seattle SuperSonics,1-1,0-2,0-2,0-2,0-2,1-1,1-3,1-3,0-2,1-2,0-4,1-1,1-2,0-4,1-3,1-1,1-1,3-1,0-3,2-0,NA,0-2,0-2,0-4,2-2,1-3,1-2,1-1,0-4,0-2
2007,Toronto Raptors,2-1,1-3,3-1,2-1,2-2,1-3,1-1,0-2,1-3,0-2,1-1,3-1,1-1,0-2,2-0,4-0,2-1,2-0,1-1,3-1,1-1,1-2,3-1,0-2,1-1,1-1,1-1,NA,0-2,1-3
2007,Utah Jazz,1-1,1-1,1-1,1-1,1-1,1-1,2-2,3-1,2-0,3-0,2-1,1-1,3-1,1-3,3-0,1-1,2-0,2-2,3-1,1-1,4-0,2-0,2-0,2-1,1-3,2-2,2-2,2-0,NA,2-0
2007,Washington Wizards,2-2,3-1,1-2,2-1,3-1,2-2,2-0,0-2,1-2,0-2,0-2,2-2,2-0,0-2,1-1,4-0,2-2,2-0,2-0,1-2,2-0,1-3,2-2,0-2,1-1,2-0,0-2,3-1,0-2,NA
2006,Atlanta Hawks,NA,3-1,1-2,0-4,1-3,1-3,0-2,1-1,1-2,2-0,1-1,1-3,2-0,0-2,2-0,0-4,1-2,2-0,0-2,1-2,0-2,3-1,1-3,1-1,1-1,1-1,0-2,2-2,0-2,1-3
2006,Boston Celtics,1-3,NA,2-2,0-3,2-2,1-2,0-2,1-1,0-4,0-2,1-1,1-3,0-2,0-2,1-1,1-2,2-2,1-1,0-2,3-1,1-1,1-3,1-3,0-2,2-0,0-2,1-1,1-3,0-2,0-3
2006,Charlotte Bobcats,3-1,2-2,1-2,1-2,NA,2-2,0-2,1-1,2-2,1-1,0-2,1-2,0-2,2-0,0-2,2-2,2-2,1-1,1-1,2-2,0-2,2-2,2-2,0-2,0-2,1-1,1-1,0-3,1-1,2-2
2006,Chicago Bulls,4-0,3-0,1-3,NA,2-1,2-2,1-1,1-1,3-1,1-1,0-2,3-1,0-2,1-1,1-1,3-1,4-0,0-2,2-0,3-1,2-0,1-2,2-1,1-1,2-0,0-2,1-1,2-2,0-2,3-1
2006,Cleveland Cavaliers,3-1,2-1,2-1,2-2,2-2,NA,0-2,0-2,1-3,2-0,1-1,3-1,2-0,2-0,2-0,1-3,4-0,2-0,1-1,2-2,1-1,1-2,3-1,0-2,1-1,2-0,2-0,3-1,1-1,2-1
2006,Dallas Mavericks,2-0,2-0,2-0,1-1,2-0,2-0,NA,3-1,1-1,0-3,3-1,2-0,2-1,3-1,4-0,2-0,2-0,4-0,4-0,2-0,4-0,2-0,2-0,2-2,3-0,4-0,3-1,2-0,1-2,1-1
2006,Denver Nuggets,1-1,1-1,1-1,1-1,1-1,2-0,1-3,NA,0-2,3-1,1-2,2-0,2-1,3-1,2-2,2-0,2-0,2-2,2-2,1-1,3-1,1-1,1-1,1-2,3-1,2-2,1-2,1-1,1-3,1-1
2006,Detroit Pistons,2-1,4-0,4-0,1-3,2-2,3-1,1-1,2-0,NA,0-2,1-1,2-2,2-0,2-0,2-0,2-1,3-1,1-1,1-1,2-1,2-0,4-0,3-1,1-1,1-1,1-1,0-2,2-1,0-2,2-2
2006,Golden State Warriors,0-2,2-0,1-1,1-1,1-1,0-2,3-0,1-3,2-0,NA,2-1,1-1,2-2,0-4,3-1,0-2,0-2,2-1,3-1,1-1,3-1,1-1,2-0,1-3,2-1,3-1,1-3,1-1,2-2,1-1
2006,Houston Rockets,1-1,1-1,2-0,2-0,2-0,1-1,1-3,2-1,1-1,1-2,NA,1-1,3-1,2-2,4-0,2-0,2-0,2-2,1-3,2-0,3-0,2-0,2-0,1-3,2-2,3-0,2-2,1-1,1-3,2-0
2006,Indiana Pacers,3-1,3-1,0-4,1-3,2-1,1-3,0-2,0-2,2-2,1-1,1-1,NA,1-1,1-1,2-0,2-2,4-0,0-2,1-1,2-1,0-2,2-2,2-2,0-2,2-0,0-2,1-1,1-2,0-2,0-3
2006,Los Angeles Clippers,0-2,2-0,1-1,2-0,2-0,0-2,1-2,1-2,0-2,2-2,1-3,1-1,NA,2-2,3-0,2-0,2-0,1-2,2-2,1-1,2-2,1-1,2-0,2-2,3-1,2-2,0-4,0-2,1-3,1-1
2006,Los Angeles Lakers,2-0,2-0,2-0,1-1,0-2,0-2,1-3,1-3,0-2,4-0,2-2,1-1,2-2,NA,2-2,1-1,0-2,3-1,1-2,0-2,3-1,2-0,1-1,1-3,1-2,3-1,2-1,1-1,2-1,1-1
2006,Memphis Grizzlies,0-2,1-1,0-2,1-1,2-0,0-2,0-4,2-2,0-2,1-3,0-4,0-2,0-3,2-2,NA,0-2,0-2,2-1,1-3,0-2,1-2,1-1,1-1,0-4,2-2,1-2,1-3,1-1,1-3,1-1
2006,Miami Heat,4-0,2-1,3-1,1-3,2-2,3-1,0-2,0-2,1-2,2-0,0-2,2-2,0-2,1-1,2-0,NA,2-1,2-0,1-1,1-3,2-0,0-4,1-3,0-2,2-0,2-0,1-1,2-1,2-0,3-1
2006,Milwaukee Bucks,2-1,2-2,1-2,0-4,2-2,0-4,0-2,0-2,1-3,2-0,0-2,0-4,0-2,2-0,2-0,1-2,NA,2-0,0-2,1-3,1-1,1-3,2-1,0-2,1-1,1-1,2-0,1-3,0-2,1-3
2006,Minnesota Timberwolves,0-2,1-1,1-1,2-0,1-1,0-2,0-4,2-2,1-1,1-2,2-2,2-0,2-1,1-3,1-2,0-2,0-2,NA,1-3,2-0,1-3,1-1,2-0,1-3,2-2,2-2,1-2,0-2,1-3,1-1
2006,New Jersey Nets,2-1,2-2,NA,3-1,2-1,1-2,0-2,1-1,0-4,1-1,0-2,4-0,1-1,0-2,2-0,1-3,2-1,1-1,1-1,4-0,0-2,2-2,2-2,0-2,0-2,1-1,0-2,2-2,2-0,4-0
2006,New Orleans/Oklahoma City Hornets,2-0,2-0,1-1,0-2,1-1,1-1,0-4,2-2,1-1,1-3,3-1,1-1,2-2,2-1,3-1,1-1,2-0,3-1,NA,2-0,2-2,1-1,0-2,0-3,1-2,3-1,0-4,0-2,1-2,1-1
2006,New York Knicks,2-1,1-3,0-4,1-3,2-2,2-2,0-2,1-1,1-2,1-1,0-2,1-2,1-1,2-0,2-0,3-1,3-1,0-2,0-2,NA,1-1,2-1,1-3,0-2,1-1,1-1,0-2,1-3,1-1,2-2
2006,Orlando Magic,1-3,3-1,2-2,2-1,2-2,2-1,0-2,1-1,0-4,1-1,0-2,2-2,1-1,0-2,1-1,4-0,3-1,1-1,1-1,1-2,2-0,NA,2-1,0-2,2-0,1-1,1-1,0-4,2-0,2-2
2006,Philadelphia 76ers,3-1,3-1,2-2,1-2,2-2,1-3,0-2,1-1,1-3,0-2,0-2,2-2,0-2,1-1,1-1,3-1,1-2,0-2,2-0,3-1,2-0,1-2,NA,1-1,1-1,1-1,0-2,1-3,1-1,0-3
2006,Phoenix Suns,1-1,2-0,2-0,1-1,2-0,2-0,2-2,2-1,1-1,3-1,3-1,2-0,2-2,3-1,4-0,2-0,2-0,3-1,3-0,2-0,2-1,2-0,1-1,NA,4-0,3-1,1-2,2-0,1-3,1-1
2006,Portland Trail Blazers,1-1,0-2,2-0,0-2,2-0,1-1,0-3,1-3,1-1,1-2,2-2,0-2,1-3,2-1,2-2,0-2,1-1,2-2,2-1,1-1,2-2,0-2,1-1,0-4,NA,2-2,0-4,1-1,2-2,2-0
2006,Sacramento Kings,1-1,2-0,1-1,2-0,1-1,0-2,0-4,2-2,1-1,1-3,0-3,2-0,2-2,1-3,2-1,0-2,1-1,2-2,1-3,1-1,2-1,1-1,1-1,1-3,2-2,NA,0-4,1-1,2-1,0-2
2006,San Antonio Spurs,2-0,1-1,2-0,1-1,1-1,0-2,1-3,2-1,2-0,3-1,2-2,1-1,4-0,1-2,3-1,1-1,0-2,2-1,4-0,2-0,4-0,1-1,2-0,2-1,4-0,4-0,NA,2-0,2-2,2-0
2006,Seattle SuperSonics,2-0,1-1,2-0,0-2,2-0,1-1,0-4,1-3,0-2,1-3,0-3,2-0,2-2,1-3,2-1,0-2,1-1,3-1,2-2,1-1,NA,0-2,0-2,1-2,2-2,1-2,0-4,1-1,2-2,0-2
2006,Toronto Raptors,2-2,3-1,2-2,2-2,3-0,1-3,0-2,1-1,1-2,1-1,1-1,2-1,2-0,1-1,1-1,1-2,3-1,2-0,2-0,3-1,1-1,4-0,3-1,0-2,1-1,1-1,0-2,NA,0-2,3-1
2006,Utah Jazz,2-0,2-0,0-2,2-0,1-1,1-1,2-1,3-1,2-0,2-2,3-1,2-0,3-1,1-2,3-1,0-2,2-0,3-1,2-1,1-1,2-2,0-2,1-1,3-1,2-2,1-2,2-2,2-0,NA,1-1
2006,Washington Wizards,3-1,3-0,0-4,1-3,2-2,1-2,1-1,1-1,2-2,1-1,0-2,3-0,1-1,1-1,1-1,1-3,3-1,1-1,1-1,2-2,2-0,2-2,3-0,1-1,0-2,2-0,0-2,1-3,1-1,NA
2005,Atlanta Hawks,NA,2-1,1-3,0-3,1-3,1-2,0-2,1-1,1-3,1-1,1-1,4-0,0-2,1-1,0-2,1-3,1-3,1-1,1-1,2-2,0-2,2-2,1-2,0-2,0-2,0-2,1-1,1-3,0-2,1-3
2005,Boston Celtics,1-2,NA,1-3,0-4,2-1,0-4,0-2,1-1,0-3,1-1,1-1,3-1,1-1,1-1,1-1,1-3,0-3,1-1,2-0,3-1,0-2,1-3,3-1,0-2,2-0,1-1,0-2,3-1,2-0,1-3
2005,Charlotte Bobcats,3-1,1-2,1-3,2-2,NA,0-3,0-2,0-2,0-4,1-1,1-1,2-2,0-2,1-1,0-2,0-4,0-3,1-1,0-2,3-0,1-1,1-3,3-1,0-2,1-1,1-1,0-2,1-3,1-1,1-3
2005,Chicago Bulls,3-0,4-0,2-1,NA,2-2,0-4,0-2,1-1,0-4,1-1,1-1,2-2,1-1,1-1,1-1,1-2,2-2,1-1,1-1,2-1,0-2,3-1,2-2,0-2,1-1,0-2,1-1,4-0,1-1,3-1
2005,Cleveland Cavaliers,2-1,4-0,2-2,4-0,3-0,NA,1-1,1-1,1-3,0-2,1-1,3-1,1-1,1-1,1-1,2-2,3-1,1-1,2-0,1-2,1-1,3-1,2-2,1-1,1-1,1-1,1-1,3-0,2-0,1-3
2005,Dallas Mavericks,2-0,2-0,1-1,2-0,2-0,1-1,NA,3-1,1-1,1-3,4-0,2-0,3-1,1-2,3-1,2-0,1-1,2-1,4-0,1-1,3-0,1-1,1-1,2-2,4-0,2-1,2-2,2-0,3-1,2-0
2005,Denver Nuggets,1-1,1-1,0-2,1-1,2-0,1-1,1-3,NA,1-1,2-1,2-2,2-0,1-3,1-2,2-1,2-0,1-1,3-1,2-1,2-0,2-2,1-1,1-1,1-3,4-0,1-3,2-2,2-0,1-3,1-1
2005,Detroit Pistons,3-1,3-0,2-2,4-0,4-0,3-1,1-1,1-1,NA,2-0,2-0,3-1,2-0,1-1,2-0,3-1,3-1,2-0,2-0,3-1,2-0,2-1,3-0,2-0,2-0,2-0,2-0,3-1,0-2,0-3
2005,Golden State Warriors,1-1,1-1,1-1,1-1,1-1,2-0,3-1,1-2,0-2,NA,1-3,0-2,1-3,0-4,0-3,1-1,1-1,2-2,1-2,2-0,2-1,1-1,1-1,1-3,4-0,2-2,0-4,2-0,1-3,0-2
2005,Houston Rockets,1-1,1-1,1-1,1-1,1-1,1-1,0-4,2-2,0-2,3-1,NA,1-1,2-2,1-2,0-4,0-2,2-0,2-2,1-3,2-0,3-1,1-1,1-1,0-3,2-1,2-2,0-4,0-2,1-2,2-0
2005,Indiana Pacers,0-4,1-3,2-1,2-2,2-2,1-3,0-2,0-2,1-3,2-0,1-1,NA,2-0,1-1,1-1,2-1,2-2,1-1,2-0,2-2,1-1,3-0,2-1,0-2,2-0,2-0,0-2,2-2,2-0,2-2
2005,Los Angeles Clippers,2-0,1-1,1-1,1-1,2-0,1-1,1-3,3-1,0-2,3-1,2-2,0-2,NA,2-2,1-3,1-1,2-0,3-1,1-2,2-0,3-1,2-0,1-1,2-2,3-0,0-4,1-2,2-0,2-1,2-0
2005,Los Angeles Lakers,1-1,1-1,0-2,1-1,1-1,1-1,2-1,2-1,1-1,4-0,2-1,1-1,2-2,NA,1-3,1-1,2-0,1-3,3-1,2-0,2-1,2-0,1-1,1-3,2-2,2-2,1-3,2-0,2-2,1-1
2005,Memphis Grizzlies,2-0,1-1,1-1,1-1,2-0,1-1,1-3,1-2,0-2,3-0,4-0,1-1,3-1,3-1,NA,0-2,1-1,3-1,1-3,2-0,3-1,2-0,0-2,2-1,2-1,2-2,0-4,2-0,3-1,2-0
2005,Miami Heat,3-1,3-1,1-3,2-1,4-0,2-2,0-2,0-2,1-3,1-1,2-0,1-2,1-1,1-1,2-0,NA,3-1,1-1,1-1,3-0,2-0,2-2,3-0,0-2,2-0,2-0,0-2,3-1,2-0,4-0
2005,Milwaukee Bucks,3-1,3-0,1-3,2-2,3-0,1-3,1-1,1-1,1-3,1-1,0-2,2-2,0-2,0-2,1-1,1-3,NA,1-1,1-1,3-1,1-1,2-2,3-1,1-1,2-0,0-2,1-1,2-1,0-2,2-1
2005,Minnesota Timberwolves,1-1,1-1,1-1,1-1,1-1,1-1,1-2,1-3,0-2,2-2,2-2,1-1,1-3,3-1,1-3,1-1,1-1,NA,1-2,2-0,2-2,1-1,0-2,1-2,2-2,2-1,0-4,0-2,1-3,1-1
2005,New Jersey Nets,3-1,3-1,NA,1-2,3-1,2-2,1-1,2-0,2-2,1-1,1-1,1-2,1-1,2-0,1-1,3-1,3-1,1-1,2-0,3-1,1-1,3-0,1-3,1-1,1-1,0-2,0-2,3-1,1-1,2-1
2005,New Orleans/Oklahoma City Hornets,1-1,0-2,0-2,1-1,2-0,0-2,0-4,1-2,0-2,2-1,3-1,0-2,2-1,1-3,3-1,1-1,1-1,2-1,NA,2-0,3-1,1-1,1-1,1-3,3-1,2-2,1-3,2-0,1-3,1-1
2005,New York Knicks,2-2,1-3,1-3,1-2,0-3,2-1,1-1,0-2,1-3,0-2,0-2,2-2,0-2,0-2,0-2,0-3,1-3,0-2,0-2,NA,2-0,1-3,1-3,1-1,1-1,1-1,0-2,1-3,2-0,1-3
2005,Orlando Magic,2-2,3-1,0-3,1-3,3-1,1-3,1-1,1-1,1-2,1-1,1-1,0-3,0-2,0-2,0-2,2-2,2-2,1-1,1-1,3-1,1-1,NA,3-1,1-1,1-1,1-1,1-1,1-2,1-1,2-2
2005,Philadelphia 76ers,2-1,1-3,3-1,2-2,1-3,2-2,1-1,1-1,0-3,1-1,1-1,1-2,1-1,1-1,2-0,0-3,1-3,2-0,1-1,3-1,1-1,1-3,NA,0-2,1-1,2-0,1-1,3-1,0-2,2-2
2005,Phoenix Suns,2-0,2-0,1-1,2-0,2-0,1-1,2-2,3-1,0-2,3-1,3-0,2-0,2-2,3-1,1-2,2-0,1-1,2-1,3-1,1-1,2-2,1-1,2-0,NA,3-1,2-2,1-3,2-0,2-1,1-1
2005,Portland Trail Blazers,2-0,0-2,1-1,1-1,1-1,1-1,0-4,0-4,0-2,0-4,1-2,0-2,0-3,2-2,1-2,0-2,0-2,2-2,1-3,1-1,1-3,1-1,1-1,1-3,NA,1-2,0-4,1-1,0-4,1-1
2005,Sacramento Kings,2-0,1-1,2-0,2-0,1-1,1-1,1-2,3-1,0-2,2-2,2-2,0-2,4-0,2-2,2-2,0-2,2-0,1-2,2-2,1-1,3-1,1-1,0-2,2-2,2-1,NA,1-2,1-1,3-1,0-2
2005,San Antonio Spurs,1-1,2-0,2-0,1-1,2-0,1-1,2-2,2-2,0-2,4-0,4-0,2-0,2-1,3-1,4-0,2-0,1-1,4-0,3-1,2-0,2-1,1-1,1-1,3-1,4-0,2-1,NA,2-0,3-0,1-1
2005,Seattle SuperSonics,2-0,2-0,1-1,2-0,1-1,1-1,0-3,2-2,0-2,1-2,1-3,1-1,1-3,1-2,1-3,0-2,1-1,2-2,1-3,0-2,NA,1-1,1-1,2-2,3-1,1-3,1-2,1-1,3-1,1-1
2005,Toronto Raptors,3-1,1-3,1-3,0-4,3-1,0-3,0-2,0-2,1-3,0-2,2-0,2-2,0-2,0-2,0-2,1-3,1-2,2-0,0-2,3-1,1-1,2-1,1-3,0-2,1-1,1-1,0-2,NA,0-2,1-2
2005,Utah Jazz,2-0,0-2,1-1,1-1,1-1,0-2,1-3,3-1,2-0,3-1,2-1,0-2,1-2,2-2,1-3,0-2,2-0,3-1,3-1,0-2,1-3,1-1,2-0,1-2,4-0,1-3,0-3,2-0,NA,1-1
2005,Washington Wizards,3-1,3-1,1-2,1-3,3-1,3-1,0-2,1-1,3-0,2-0,0-2,2-2,0-2,1-1,0-2,0-4,1-2,1-1,1-1,3-1,1-1,2-2,2-2,1-1,1-1,2-0,1-1,2-1,1-1,NA
